date,transaction_id,description,category,type,amount,balance
2022-01-30,TX00038,Daily Sales Deposit,Sales Revenue,Credit,970,40403
2022-01-30,TX00039,Rent Payment,Operating Expense,Debit,314,40089
2022-01-31,TX00040,Daily Sales Deposit,Sales Revenue,Credit,889,40978
2022-02-01,TX00041,Daily Sales Deposit,Sales Revenue,Credit,907,41885
2022-02-02,TX00042,Daily Sales Deposit,Sales Revenue,Credit,1066,42951
2022-02-03,TX00043,Daily Sales Deposit,Sales Revenue,Credit,1109,44060
2022-02-04,TX00044,Daily Sales Deposit,Sales Revenue,Credit,887,44947
2022-02-05,TX00045,Daily Sales Deposit,Sales Revenue,Credit,740,45687
2022-02-06,TX00046,Daily Sales Deposit,Sales Revenue,Credit,1000,46687
2022-02-06,TX00047,Bakery Payment,COGS,Debit,426,46261
2022-02-07,TX00048,Daily Sales Deposit,Sales Revenue,Credit,1043,47304
2022-02-08,TX00049,Daily Sales Deposit,Sales Revenue,Credit,835,48139
2022-02-08,TX00050,Utility Bill Payment,Operating Expense,Debit,238,47901
2022-02-09,TX00051,Daily Sales Deposit,Sales Revenue,Credit,780,48681
2022-02-10,TX00052,Daily Sales Deposit,Sales Revenue,Credit,1118,49799
2022-02-11,TX00053,Daily Sales Deposit,Sales Revenue,Credit,960,50759
2022-02-12,TX00054,Daily Sales Deposit,Sales Revenue,Credit,740,51499
2022-02-13,TX00055,Daily Sales Deposit,Sales Revenue,Credit,900,52399
2022-02-14,TX00056,Daily Sales Deposit,Sales Revenue,Credit,1117,53516
2022-02-14,TX00057,Maintenance Payment,Operating Expense,Debit,161,53355
2022-02-15,TX00058,Daily Sales Deposit,Sales Revenue,Credit,798,54153
2022-02-16,TX00059,Daily Sales Deposit,Sales Revenue,Credit,913,55066
2022-02-17,TX00060,Daily Sales Deposit,Sales Revenue,Credit,1148,56214
2022-02-18,TX00061,Daily Sales Deposit,Sales Revenue,Credit,1130,57344
2022-02-19,TX00062,Daily Sales Deposit,Sales Revenue,Credit,956,58300
2022-02-20,TX00063,Daily Sales Deposit,Sales Revenue,Credit,954,59254
2022-02-21,TX00064,Daily Sales Deposit,Sales Revenue,Credit,982,60236
2022-02-22,TX00065,Daily Sales Deposit,Sales Revenue,Credit,714,60950
2022-02-22,TX00066,Maintenance Payment,Operating Expense,Debit,479,60471
2022-02-23,TX00067,Daily Sales Deposit,Sales Revenue,Credit,878,61349
2022-02-23,TX00068,Bakery Payment,COGS,Debit,330,61019
2022-02-24,TX00069,Daily Sales Deposit,Sales Revenue,Credit,751,61770
2022-02-25,TX00070,Daily Sales Deposit,Sales Revenue,Credit,1087,62857
2022-02-26,TX00071,Daily Sales Deposit,Sales Revenue,Credit,1106,63963
2022-02-27,TX00072,Daily Sales Deposit,Sales Revenue,Credit,842,64805
2022-02-28,TX00073,Daily Sales Deposit,Sales Revenue,Credit,735,65540
2022-03-01,TX00074,Daily Sales Deposit,Sales Revenue,Credit,726,66266
2022-03-02,TX00075,Daily Sales Deposit,Sales Revenue,Credit,485,66751
2022-03-03,TX00076,Daily Sales Deposit,Sales Revenue,Credit,569,67320
2022-03-04,TX00077,Daily Sales Deposit,Sales Revenue,Credit,533,67853
2022-03-05,TX00078,Daily Sales Deposit,Sales Revenue,Credit,507,68360
2022-03-05,TX00079,Utility Bill Payment,Operating Expense,Debit,385,67975
2022-03-06,TX00080,Daily Sales Deposit,Sales Revenue,Credit,527,68502
2022-03-07,TX00081,Daily Sales Deposit,Sales Revenue,Credit,747,69249
2022-03-08,TX00082,Daily Sales Deposit,Sales Revenue,Credit,589,69838
2022-03-08,TX00083,Utility Bill Payment,Operating Expense,Debit,476,69362
2022-03-09,TX00084,Daily Sales Deposit,Sales Revenue,Credit,520,69882
2022-03-10,TX00085,Daily Sales Deposit,Sales Revenue,Credit,632,70514
2022-03-11,TX00086,Daily Sales Deposit,Sales Revenue,Credit,597,71111
2022-03-12,TX00087,Daily Sales Deposit,Sales Revenue,Credit,536,71647
2022-03-13,TX00088,Daily Sales Deposit,Sales Revenue,Credit,624,72271
2022-03-13,TX00089,Utility Bill Payment,Operating Expense,Debit,271,72000
2022-03-14,TX00090,Daily Sales Deposit,Sales Revenue,Credit,773,72773
2022-03-15,TX00091,Daily Sales Deposit,Sales Revenue,Credit,632,73405
2022-03-16,TX00092,Daily Sales Deposit,Sales Revenue,Credit,717,74122
2022-03-17,TX00093,Daily Sales Deposit,Sales Revenue,Credit,451,74573
2022-03-18,TX00094,Daily Sales Deposit,Sales Revenue,Credit,694,75267
2022-03-19,TX00095,Daily Sales Deposit,Sales Revenue,Credit,512,75779
2022-03-19,TX00096,Utility Bill Payment,Operating Expense,Debit,180,75599
2022-03-20,TX00097,Daily Sales Deposit,Sales Revenue,Credit,512,76111
2022-03-21,TX00098,Daily Sales Deposit,Sales Revenue,Credit,619,76730
2022-03-21,TX00099,Bakery Payment,COGS,Debit,323,76407
2022-03-22,TX00100,Daily Sales Deposit,Sales Revenue,Credit,784,77191
2022-03-23,TX00101,Daily Sales Deposit,Sales Revenue,Credit,529,77720
2022-03-24,TX00102,Daily Sales Deposit,Sales Revenue,Credit,617,78337
2022-03-25,TX00103,Daily Sales Deposit,Sales Revenue,Credit,646,78983
2022-03-26,TX00104,Daily Sales Deposit,Sales Revenue,Credit,602,79585
2022-03-27,TX00105,Daily Sales Deposit,Sales Revenue,Credit,654,80239
2022-03-28,TX00106,Daily Sales Deposit,Sales Revenue,Credit,724,80963
2022-03-29,TX00107,Daily Sales Deposit,Sales Revenue,Credit,597,81560
2022-03-30,TX00108,Daily Sales Deposit,Sales Revenue,Credit,639,82199
2022-03-31,TX00109,Daily Sales Deposit,Sales Revenue,Credit,600,82799
2022-04-01,TX00110,Daily Sales Deposit,Sales Revenue,Credit,725,83524
2022-04-02,TX00111,Daily Sales Deposit,Sales Revenue,Credit,658,84182
2022-04-03,TX00112,Daily Sales Deposit,Sales Revenue,Credit,745,84927
2022-04-04,TX00113,Daily Sales Deposit,Sales Revenue,Credit,546,85473
2022-04-05,TX00114,Daily Sales Deposit,Sales Revenue,Credit,598,86071
2022-04-05,TX00115,Coffee Supplier Payment,COGS,Debit,227,85844
2022-04-06,TX00116,Daily Sales Deposit,Sales Revenue,Credit,759,86603
2022-04-06,TX00117,Coffee Supplier Payment,COGS,Debit,250,86353
2022-04-07,TX00118,Daily Sales Deposit,Sales Revenue,Credit,498,86851
2022-04-08,TX00119,Daily Sales Deposit,Sales Revenue,Credit,543,87394
2022-04-09,TX00120,Daily Sales Deposit,Sales Revenue,Credit,459,87853
2022-04-10,TX00121,Daily Sales Deposit,Sales Revenue,Credit,784,88637
2022-04-10,TX00122,Maintenance Payment,Operating Expense,Debit,239,88398
2022-04-11,TX00123,Daily Sales Deposit,Sales Revenue,Credit,436,88834
2022-04-12,TX00124,Daily Sales Deposit,Sales Revenue,Credit,408,89242
2022-04-13,TX00125,Daily Sales Deposit,Sales Revenue,Credit,546,89788
2022-04-14,TX00126,Daily Sales Deposit,Sales Revenue,Credit,530,90318
2022-04-15,TX00127,Daily Sales Deposit,Sales Revenue,Credit,453,90771
2022-04-16,TX00128,Daily Sales Deposit,Sales Revenue,Credit,515,91286
2022-04-16,TX00129,Rent Payment,Operating Expense,Debit,203,91083
2022-04-17,TX00130,Daily Sales Deposit,Sales Revenue,Credit,653,91736
2022-04-17,TX00131,Bakery Payment,COGS,Debit,198,91538
2022-04-18,TX00132,Daily Sales Deposit,Sales Revenue,Credit,748,92286
2022-04-19,TX00133,Daily Sales Deposit,Sales Revenue,Credit,765,93051
2022-04-20,TX00134,Daily Sales Deposit,Sales Revenue,Credit,709,93760
2022-04-21,TX00135,Daily Sales Deposit,Sales Revenue,Credit,568,94328
2022-04-21,TX00136,Bakery Payment,COGS,Debit,167,94161
2022-04-22,TX00137,Daily Sales Deposit,Sales Revenue,Credit,797,94958
2022-04-23,TX00138,Daily Sales Deposit,Sales Revenue,Credit,783,95741
2022-04-24,TX00139,Daily Sales Deposit,Sales Revenue,Credit,594,96335
2022-04-25,TX00140,Daily Sales Deposit,Sales Revenue,Credit,432,96767
2022-04-26,TX00141,Daily Sales Deposit,Sales Revenue,Credit,770,97537
2022-04-27,TX00142,Daily Sales Deposit,Sales Revenue,Credit,421,97958
2022-04-28,TX00143,Daily Sales Deposit,Sales Revenue,Credit,437,98395
2022-04-29,TX00144,Daily Sales Deposit,Sales Revenue,Credit,450,98845
2022-04-30,TX00145,Daily Sales Deposit,Sales Revenue,Credit,682,99527
2022-05-01,TX00146,Daily Sales Deposit,Sales Revenue,Credit,676,100203
2022-05-02,TX00147,Daily Sales Deposit,Sales Revenue,Credit,683,100886
2022-05-03,TX00148,Daily Sales Deposit,Sales Revenue,Credit,716,101602
2022-05-04,TX00149,Daily Sales Deposit,Sales Revenue,Credit,403,102005
2022-05-04,TX00150,Bakery Payment,COGS,Debit,148,101857
2022-05-05,TX00151,Daily Sales Deposit,Sales Revenue,Credit,571,102428
2022-05-06,TX00152,Daily Sales Deposit,Sales Revenue,Credit,445,102873
2022-05-07,TX00153,Daily Sales Deposit,Sales Revenue,Credit,498,103371
2022-05-08,TX00154,Daily Sales Deposit,Sales Revenue,Credit,436,103807
2022-05-09,TX00155,Daily Sales Deposit,Sales Revenue,Credit,701,104508
2022-05-10,TX00156,Daily Sales Deposit,Sales Revenue,Credit,498,105006
2022-05-11,TX00157,Daily Sales Deposit,Sales Revenue,Credit,515,105521
2022-05-12,TX00158,Daily Sales Deposit,Sales Revenue,Credit,560,106081
2022-05-13,TX00159,Daily Sales Deposit,Sales Revenue,Credit,527,106608
2022-05-14,TX00160,Daily Sales Deposit,Sales Revenue,Credit,622,107230
2022-05-15,TX00161,Daily Sales Deposit,Sales Revenue,Credit,722,107952
2022-05-16,TX00162,Daily Sales Deposit,Sales Revenue,Credit,679,108631
2022-05-17,TX00163,Daily Sales Deposit,Sales Revenue,Credit,741,109372
2022-05-18,TX00164,Daily Sales Deposit,Sales Revenue,Credit,526,109898
2022-05-19,TX00165,Daily Sales Deposit,Sales Revenue,Credit,785,110683
2022-05-20,TX00166,Daily Sales Deposit,Sales Revenue,Credit,503,111186
2022-05-21,TX00167,Daily Sales Deposit,Sales Revenue,Credit,698,111884
2022-05-22,TX00168,Daily Sales Deposit,Sales Revenue,Credit,438,112322
2022-05-23,TX00169,Daily Sales Deposit,Sales Revenue,Credit,646,112968
2022-05-24,TX00170,Daily Sales Deposit,Sales Revenue,Credit,705,113673
2022-05-25,TX00171,Daily Sales Deposit,Sales Revenue,Credit,412,114085
2022-05-25,TX00172,Bakery Payment,COGS,Debit,490,113595
2022-05-26,TX00173,Daily Sales Deposit,Sales Revenue,Credit,435,114030
2022-05-27,TX00174,Daily Sales Deposit,Sales Revenue,Credit,720,114750
2022-05-27,TX00175,Rent Payment,Operating Expense,Debit,499,114251
2022-05-28,TX00176,Daily Sales Deposit,Sales Revenue,Credit,770,115021
2022-05-29,TX00177,Daily Sales Deposit,Sales Revenue,Credit,491,115512
2022-05-30,TX00178,Daily Sales Deposit,Sales Revenue,Credit,687,116199
2022-05-31,TX00179,Daily Sales Deposit,Sales Revenue,Credit,741,116940
2022-06-01,TX00180,Daily Sales Deposit,Sales Revenue,Credit,585,117525
2022-06-02,TX00181,Daily Sales Deposit,Sales Revenue,Credit,524,118049
2022-06-03,TX00182,Daily Sales Deposit,Sales Revenue,Credit,457,118506
2022-06-03,TX00183,Coffee Supplier Payment,COGS,Debit,279,118227
2022-06-04,TX00184,Daily Sales Deposit,Sales Revenue,Credit,725,118952
2022-06-05,TX00185,Daily Sales Deposit,Sales Revenue,Credit,500,119452
2022-06-06,TX00186,Daily Sales Deposit,Sales Revenue,Credit,452,119904
2022-06-07,TX00187,Daily Sales Deposit,Sales Revenue,Credit,507,120411
2022-06-08,TX00188,Daily Sales Deposit,Sales Revenue,Credit,595,121006
2022-06-09,TX00189,Daily Sales Deposit,Sales Revenue,Credit,771,121777
2022-06-10,TX00190,Daily Sales Deposit,Sales Revenue,Credit,754,122531
2022-06-11,TX00191,Daily Sales Deposit,Sales Revenue,Credit,707,123238
2022-06-11,TX00192,Rent Payment,Operating Expense,Debit,469,122769
2022-06-12,TX00193,Daily Sales Deposit,Sales Revenue,Credit,505,123274
2022-06-13,TX00194,Daily Sales Deposit,Sales Revenue,Credit,544,123818
2022-06-14,TX00195,Daily Sales Deposit,Sales Revenue,Credit,674,124492
2022-06-15,TX00196,Daily Sales Deposit,Sales Revenue,Credit,745,125237
2022-06-15,TX00197,Bakery Payment,COGS,Debit,216,125021
2022-06-16,TX00198,Daily Sales Deposit,Sales Revenue,Credit,795,125816
2022-06-17,TX00199,Daily Sales Deposit,Sales Revenue,Credit,457,126273
2022-06-18,TX00200,Daily Sales Deposit,Sales Revenue,Credit,638,126911
2022-06-19,TX00201,Daily Sales Deposit,Sales Revenue,Credit,525,127436
2022-06-19,TX00202,Maintenance Payment,Operating Expense,Debit,188,127248
2022-06-20,TX00203,Daily Sales Deposit,Sales Revenue,Credit,772,128020
2022-06-21,TX00204,Daily Sales Deposit,Sales Revenue,Credit,588,128608
2022-06-22,TX00205,Daily Sales Deposit,Sales Revenue,Credit,468,129076
2022-06-23,TX00206,Daily Sales Deposit,Sales Revenue,Credit,646,129722
2022-06-23,TX00207,Utility Bill Payment,Operating Expense,Debit,253,129469
2022-06-24,TX00208,Daily Sales Deposit,Sales Revenue,Credit,485,129954
2022-06-24,TX00209,Maintenance Payment,Operating Expense,Debit,319,129635
2022-06-25,TX00210,Daily Sales Deposit,Sales Revenue,Credit,446,130081
2022-06-25,TX00211,Rent Payment,Operating Expense,Debit,337,129744
2022-06-26,TX00212,Daily Sales Deposit,Sales Revenue,Credit,603,130347
2022-06-26,TX00213,Rent Payment,Operating Expense,Debit,440,129907
2022-06-27,TX00214,Daily Sales Deposit,Sales Revenue,Credit,688,130595
2022-06-28,TX00215,Daily Sales Deposit,Sales Revenue,Credit,756,131351
2022-06-29,TX00216,Daily Sales Deposit,Sales Revenue,Credit,409,131760
2022-06-30,TX00217,Daily Sales Deposit,Sales Revenue,Credit,499,132259
2022-06-30,TX00218,Coffee Supplier Payment,COGS,Debit,322,131937
2022-07-01,TX00219,Daily Sales Deposit,Sales Revenue,Credit,749,132686
2022-07-02,TX00220,Daily Sales Deposit,Sales Revenue,Credit,595,133281
2022-07-03,TX00221,Daily Sales Deposit,Sales Revenue,Credit,824,134105
2022-07-04,TX00222,Daily Sales Deposit,Sales Revenue,Credit,515,134620
2022-07-04,TX00223,Coffee Supplier Payment,COGS,Debit,346,134274
2022-07-05,TX00224,Daily Sales Deposit,Sales Revenue,Credit,996,135270
2022-07-06,TX00225,Daily Sales Deposit,Sales Revenue,Credit,659,135929
2022-07-07,TX00226,Daily Sales Deposit,Sales Revenue,Credit,651,136580
2022-07-08,TX00227,Daily Sales Deposit,Sales Revenue,Credit,662,137242
2022-07-09,TX00228,Daily Sales Deposit,Sales Revenue,Credit,916,138158
2022-07-10,TX00229,Daily Sales Deposit,Sales Revenue,Credit,926,139084
2022-07-11,TX00230,Daily Sales Deposit,Sales Revenue,Credit,822,139906
2022-07-12,TX00231,Daily Sales Deposit,Sales Revenue,Credit,667,140573
2022-07-13,TX00232,Daily Sales Deposit,Sales Revenue,Credit,543,141116
2022-07-14,TX00233,Daily Sales Deposit,Sales Revenue,Credit,511,141627
2022-07-14,TX00234,Maintenance Payment,Operating Expense,Debit,485,141142
2022-07-15,TX00235,Daily Sales Deposit,Sales Revenue,Credit,998,142140
2022-07-16,TX00236,Daily Sales Deposit,Sales Revenue,Credit,714,142854
2022-07-16,TX00237,Maintenance Payment,Operating Expense,Debit,363,142491
2022-07-17,TX00238,Daily Sales Deposit,Sales Revenue,Credit,909,143400
2022-07-18,TX00239,Daily Sales Deposit,Sales Revenue,Credit,917,144317
2022-07-19,TX00240,Daily Sales Deposit,Sales Revenue,Credit,890,145207
2022-07-19,TX00241,Maintenance Payment,Operating Expense,Debit,213,144994
2022-07-20,TX00242,Daily Sales Deposit,Sales Revenue,Credit,574,145568
2022-07-21,TX00243,Daily Sales Deposit,Sales Revenue,Credit,919,146487
2022-07-22,TX00244,Daily Sales Deposit,Sales Revenue,Credit,748,147235
2022-07-23,TX00245,Daily Sales Deposit,Sales Revenue,Credit,856,148091
2022-07-24,TX00246,Daily Sales Deposit,Sales Revenue,Credit,691,148782
2022-07-25,TX00247,Daily Sales Deposit,Sales Revenue,Credit,598,149380
2022-07-26,TX00248,Daily Sales Deposit,Sales Revenue,Credit,965,150345
2022-07-27,TX00249,Daily Sales Deposit,Sales Revenue,Credit,595,150940
2022-07-28,TX00250,Daily Sales Deposit,Sales Revenue,Credit,689,151629
2022-07-29,TX00251,Daily Sales Deposit,Sales Revenue,Credit,767,152396
2022-07-30,TX00252,Daily Sales Deposit,Sales Revenue,Credit,512,152908
2022-07-31,TX00253,Daily Sales Deposit,Sales Revenue,Credit,854,153762
2022-07-31,TX00254,Bakery Payment,COGS,Debit,372,153390
2022-08-01,TX00255,Daily Sales Deposit,Sales Revenue,Credit,561,153951
2022-08-02,TX00256,Daily Sales Deposit,Sales Revenue,Credit,716,154667
2022-08-03,TX00257,Daily Sales Deposit,Sales Revenue,Credit,686,155353
2022-08-03,TX00258,Rent Payment,Operating Expense,Debit,199,155154
2022-08-04,TX00259,Daily Sales Deposit,Sales Revenue,Credit,944,156098
2022-08-05,TX00260,Daily Sales Deposit,Sales Revenue,Credit,575,156673
2022-08-06,TX00261,Daily Sales Deposit,Sales Revenue,Credit,783,157456
2022-08-07,TX00262,Daily Sales Deposit,Sales Revenue,Credit,883,158339
2022-08-08,TX00263,Daily Sales Deposit,Sales Revenue,Credit,866,159205
2022-08-08,TX00264,Utility Bill Payment,Operating Expense,Debit,168,159037
2022-08-09,TX00265,Daily Sales Deposit,Sales Revenue,Credit,895,159932
2022-08-10,TX00266,Daily Sales Deposit,Sales Revenue,Credit,878,160810
2022-08-11,TX00267,Daily Sales Deposit,Sales Revenue,Credit,552,161362
2022-08-12,TX00268,Daily Sales Deposit,Sales Revenue,Credit,556,161918
2022-08-12,TX00269,Coffee Supplier Payment,COGS,Debit,280,161638
2022-08-13,TX00270,Daily Sales Deposit,Sales Revenue,Credit,685,162323
2022-08-13,TX00271,Coffee Supplier Payment,COGS,Debit,322,162001
2022-08-14,TX00272,Daily Sales Deposit,Sales Revenue,Credit,632,162633
2022-08-15,TX00273,Daily Sales Deposit,Sales Revenue,Credit,720,163353
2022-08-16,TX00274,Daily Sales Deposit,Sales Revenue,Credit,645,163998
2022-08-17,TX00275,Daily Sales Deposit,Sales Revenue,Credit,508,164506
2022-08-18,TX00276,Daily Sales Deposit,Sales Revenue,Credit,991,165497
2022-08-19,TX00277,Daily Sales Deposit,Sales Revenue,Credit,729,166226
2022-08-19,TX00278,Coffee Supplier Payment,COGS,Debit,240,165986
2022-08-20,TX00279,Daily Sales Deposit,Sales Revenue,Credit,892,166878
2022-08-21,TX00280,Daily Sales Deposit,Sales Revenue,Credit,621,167499
2022-08-21,TX00281,Maintenance Payment,Operating Expense,Debit,128,167371
2022-08-22,TX00282,Daily Sales Deposit,Sales Revenue,Credit,921,168292
2022-08-23,TX00283,Daily Sales Deposit,Sales Revenue,Credit,995,169287
2022-08-24,TX00284,Daily Sales Deposit,Sales Revenue,Credit,841,170128
2022-08-25,TX00285,Daily Sales Deposit,Sales Revenue,Credit,826,170954
2022-08-26,TX00286,Daily Sales Deposit,Sales Revenue,Credit,631,171585
2022-08-27,TX00287,Daily Sales Deposit,Sales Revenue,Credit,751,172336
2022-08-27,TX00288,Utility Bill Payment,Operating Expense,Debit,463,171873
2022-08-28,TX00289,Daily Sales Deposit,Sales Revenue,Credit,701,172574
2022-08-29,TX00290,Daily Sales Deposit,Sales Revenue,Credit,538,173112
2022-08-30,TX00291,Daily Sales Deposit,Sales Revenue,Credit,672,173784
2022-08-30,TX00292,Coffee Supplier Payment,COGS,Debit,319,173465
2022-08-31,TX00293,Daily Sales Deposit,Sales Revenue,Credit,647,174112
2022-08-31,TX00294,Bakery Payment,COGS,Debit,416,173696
2022-09-01,TX00295,Daily Sales Deposit,Sales Revenue,Credit,1122,174818
2022-09-02,TX00296,Daily Sales Deposit,Sales Revenue,Credit,1160,175978
2022-09-03,TX00297,Daily Sales Deposit,Sales Revenue,Credit,890,176868
2022-09-04,TX00298,Daily Sales Deposit,Sales Revenue,Credit,1108,177976
2022-09-05,TX00299,Daily Sales Deposit,Sales Revenue,Credit,1121,179097
2022-09-06,TX00300,Daily Sales Deposit,Sales Revenue,Credit,757,179854
2022-09-06,TX00301,Maintenance Payment,Operating Expense,Debit,259,179595
2022-09-07,TX00302,Daily Sales Deposit,Sales Revenue,Credit,1016,180611
2022-09-08,TX00303,Daily Sales Deposit,Sales Revenue,Credit,779,181390
2022-09-09,TX00304,Daily Sales Deposit,Sales Revenue,Credit,902,182292
2022-09-10,TX00305,Daily Sales Deposit,Sales Revenue,Credit,863,183155
2022-09-11,TX00306,Daily Sales Deposit,Sales Revenue,Credit,719,183874
2022-09-11,TX00307,Bakery Payment,COGS,Debit,146,183728
2022-09-12,TX00308,Daily Sales Deposit,Sales Revenue,Credit,1004,184732
2022-09-13,TX00309,Daily Sales Deposit,Sales Revenue,Credit,1114,185846
2022-09-14,TX00310,Daily Sales Deposit,Sales Revenue,Credit,753,186599
2022-09-15,TX00311,Daily Sales Deposit,Sales Revenue,Credit,843,187442
2022-09-16,TX00312,Daily Sales Deposit,Sales Revenue,Credit,1158,188600
2022-09-17,TX00313,Daily Sales Deposit,Sales Revenue,Credit,923,189523
2022-09-17,TX00314,Rent Payment,Operating Expense,Debit,457,189066
2022-09-18,TX00315,Daily Sales Deposit,Sales Revenue,Credit,1107,190173
2022-09-19,TX00316,Daily Sales Deposit,Sales Revenue,Credit,707,190880
2022-09-19,TX00317,Coffee Supplier Payment,COGS,Debit,263,190617
2022-09-20,TX00318,Daily Sales Deposit,Sales Revenue,Credit,835,191452
2022-09-21,TX00319,Daily Sales Deposit,Sales Revenue,Credit,877,192329
2022-09-22,TX00320,Daily Sales Deposit,Sales Revenue,Credit,1056,193385
2022-09-23,TX00321,Daily Sales Deposit,Sales Revenue,Credit,891,194276
2022-09-24,TX00322,Daily Sales Deposit,Sales Revenue,Credit,1146,195422
2022-09-25,TX00323,Daily Sales Deposit,Sales Revenue,Credit,1116,196538
2022-09-26,TX00324,Daily Sales Deposit,Sales Revenue,Credit,1160,197698
2022-09-27,TX00325,Daily Sales Deposit,Sales Revenue,Credit,1112,198810
2022-09-27,TX00326,Maintenance Payment,Operating Expense,Debit,134,198676
2022-09-28,TX00327,Daily Sales Deposit,Sales Revenue,Credit,1089,199765
2022-09-29,TX00328,Daily Sales Deposit,Sales Revenue,Credit,955,200720
2022-09-30,TX00329,Daily Sales Deposit,Sales Revenue,Credit,1108,201828
2022-10-01,TX00330,Daily Sales Deposit,Sales Revenue,Credit,1011,202839
2022-10-02,TX00331,Daily Sales Deposit,Sales Revenue,Credit,950,203789
2022-10-02,TX00332,Bakery Payment,COGS,Debit,218,203571
2022-10-03,TX00333,Daily Sales Deposit,Sales Revenue,Credit,1073,204644
2022-10-04,TX00334,Daily Sales Deposit,Sales Revenue,Credit,923,205567
2022-10-05,TX00335,Daily Sales Deposit,Sales Revenue,Credit,966,206533
2022-10-06,TX00336,Daily Sales Deposit,Sales Revenue,Credit,762,207295
2022-10-07,TX00337,Daily Sales Deposit,Sales Revenue,Credit,1014,208309
2022-10-08,TX00338,Daily Sales Deposit,Sales Revenue,Credit,1160,209469
2022-10-08,TX00339,Utility Bill Payment,Operating Expense,Debit,204,209265
2022-10-09,TX00340,Daily Sales Deposit,Sales Revenue,Credit,1084,210349
2022-10-09,TX00341,Rent Payment,Operating Expense,Debit,410,209939
2022-10-10,TX00342,Daily Sales Deposit,Sales Revenue,Credit,1164,211103
2022-10-11,TX00343,Daily Sales Deposit,Sales Revenue,Credit,832,211935
2022-10-12,TX00344,Daily Sales Deposit,Sales Revenue,Credit,1136,213071
2022-10-13,TX00345,Daily Sales Deposit,Sales Revenue,Credit,752,213823
2022-10-14,TX00346,Daily Sales Deposit,Sales Revenue,Credit,1157,214980
2022-10-15,TX00347,Daily Sales Deposit,Sales Revenue,Credit,784,215764
2022-10-16,TX00348,Daily Sales Deposit,Sales Revenue,Credit,1065,216829
2022-10-17,TX00349,Daily Sales Deposit,Sales Revenue,Credit,872,217701
2022-10-18,TX00350,Daily Sales Deposit,Sales Revenue,Credit,1145,218846
2022-10-19,TX00351,Daily Sales Deposit,Sales Revenue,Credit,1187,220033
2022-10-20,TX00352,Daily Sales Deposit,Sales Revenue,Credit,1047,221080
2022-10-21,TX00353,Daily Sales Deposit,Sales Revenue,Credit,738,221818
